Collection,Device Name,SSID,BSSID,RSSI [AVG],Link Speed [AVG],Frequency,Technology Band,Status,IP,Capability
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:d6:de:be,-66,174,5320,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:d6:e5:c5,-61,144,2462,WiFi (2.4 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:d6:e8:1e,-69,138,5540,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:d6:eb:ae,-68,167,5200,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:d6:ed:17,-65,136,2462,WiFi (2.4 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:d6:f6:2e,-67,177,5745,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:d6:f6:8e,-64,182,5280,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:e2:3e:9e,-67,143,5680,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:e2:3f:be,-67,161,5805,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:e2:45:5e,-58,164,5540,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:e2:46:de,-64,172,5765,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:e2:48:be,-60,180,5765,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:e2:49:de,-66,187,5240,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:e2:4a:9e,-65,154,5825,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-IN,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:e2:4a:ce,-65,181,5825,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-OUT,QualiPoc_083101,"""Walmartwifi""",5c:5b:35:60:0a:f8,-71,87,5180,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-OUT,QualiPoc_083101,"""Walmartwifi""",5c:5b:35:60:0a:f8,-78,137,5180,WiFi (5 GHz),OBTAINING_IPADDR,192.168.108.184,[ESS]
Day1-WIFI-OUT,QualiPoc_083101,"""Walmartwifi""",5c:5b:35:60:2c:58,-77,68,5180,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-OUT,QualiPoc_083101,"""Walmartwifi""",5c:5b:35:60:2d:d8,-80,38,5785,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-OUT,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:d6:e5:c5,-77,58,2462,WiFi (2.4 GHz),CONNECTED,192.168.108.184,[ESS]
Day1-WIFI-OUT,QualiPoc_083101,"""Walmartwifi""",d4:20:b0:ea:81:68,-77,34,5785,WiFi (5 GHz),CONNECTED,192.168.108.184,[ESS]
